time_s,speed_rpm,probe_A_amp_um,probe_A_phase_deg,probe_B_amp_um,probe_B_phase_deg
41.0,1826.1,5.989,15.96,5.494,108.48
42.0,1863.3,5.636,24.51,5.245,110.46
43.0,1900.6,5.754,18.09,5.683,109.67
44.0,1937.8,6.159,19.85,6.084,107.13
45.0,1975.0,6.189,16.81,5.728,108.91
46.0,2012.2,6.451,18.23,5.942,108.97
47.0,2049.4,6.877,12.42,6.241,105.49
48.0,2086.7,6.473,14.80,6.036,111.46
49.0,2123.9,7.237,17.65,6.764,105.24
50.0,2161.1,7.198,19.55,6.465,103.20
51.0,2198.3,7.424,16.03,6.591,107.95
52.0,2235.6,7.521,21.06,7.076,104.03
53.0,2272.8,7.596,17.78,7.534,106.11
54.0,2310.0,7.984,16.83,7.642,107.32
55.0,2347.2,7.725,15.34,7.796,100.77
56.0,2384.4,8.270,12.80,8.057,105.37
57.0,2421.7,8.856,14.86,7.924,107.56
58.0,2458.9,9.255,14.66,8.829,101.94
59.0,2496.1,9.571,17.59,9.001,104.94
60.0,2533.3,9.545,14.04,9.261,104.34
61.0,2570.6,9.974,14.29,9.222,99.86
62.0,2607.8,10.686,13.02,9.865,105.24
63.0,2645.0,10.122,13.34,10.541,105.97
64.0,2682.2,10.757,12.89,10.623,103.59
65.0,2719.4,11.339,14.23,11.366,104.60
66.0,2756.7,11.551,12.90,10.959,102.43
67.0,2793.9,12.234,12.14,11.866,103.36
68.0,2831.1,12.407,13.42,12.175,103.04
69.0,2868.3,12.938,11.93,12.563,102.08
70.0,2905.6,13.942,14.07,13.422,105.43
71.0,2942.8,14.317,13.93,13.501,103.14
72.0,2980.0,14.899,11.46,14.522,104.46
73.0,3017.2,15.294,11.29,14.952,103.25
74.0,3054.4,16.462,13.88,15.702,102.50
75.0,3091.7,16.512,13.55,16.669,103.22
76.0,3128.9,17.378,12.81,16.709,102.42
77.0,3166.1,18.629,12.75,18.405,103.65
78.0,3203.3,19.305,12.57,19.022,103.95
79.0,3240.6,20.138,13.80,19.649,102.92
80.0,3277.8,21.324,14.03,20.869,103.44
81.0,3315.0,22.298,14.38,22.319,103.27
82.0,3352.2,23.034,14.53,22.507,104.93
83.0,3389.4,24.584,15.13,24.485,104.50
84.0,3426.7,25.949,14.70,25.650,103.90
85.0,3463.9,27.918,14.97,27.501,105.93
86.0,3501.1,29.580,15.42,28.657,106.30
87.0,3538.3,31.545,16.42,31.062,105.85
88.0,3575.6,33.636,17.45,33.416,108.31
89.0,3612.8,35.515,18.13,35.528,108.35
90.0,3650.0,38.178,19.34,37.836,109.98
91.0,3687.2,41.193,20.43,40.214,109.62
92.0,3724.4,44.355,21.33,43.953,111.56
93.0,3761.7,48.468,22.65,47.769,112.93
94.0,3798.9,52.744,24.62,52.069,114.99
95.0,3836.1,57.278,26.71,56.672,116.92
96.0,3873.3,62.824,29.44,62.161,119.30
97.0,3910.6,69.025,32.29,68.641,122.51
98.0,3947.8,77.342,36.03,76.255,126.19
99.0,3985.0,85.572,40.42,85.361,130.44
100.0,4022.2,95.251,45.62,94.870,135.82
101.0,4059.4,105.674,52.48,105.160,142.44
102.0,4096.7,116.571,60.30,115.784,150.41
103.0,4133.9,126.548,69.70,126.326,159.91
104.0,4171.1,132.586,80.29,132.771,170.67
105.0,4208.3,134.994,91.48,134.999,181.55
106.0,4245.6,132.263,102.29,132.095,192.49
107.0,4282.8,125.132,112.04,125.825,202.50
108.0,4320.0,116.265,120.37,116.538,210.66
109.0,4357.2,107.011,127.51,107.054,217.92
110.0,4394.4,97.954,133.42,98.036,223.77
111.0,4431.7,89.375,138.07,89.774,228.57
112.0,4468.9,82.666,142.03,82.553,232.05
113.0,4506.1,76.155,144.95,75.876,235.57
114.0,4543.3,70.249,148.14,70.607,238.32
115.0,4580.6,65.560,149.98,65.896,240.79
116.0,4617.8,61.414,152.37,62.075,242.15
117.0,4655.0,57.162,153.79,57.975,244.22
118.0,4692.2,54.467,154.90,54.377,245.50
119.0,4729.4,51.458,156.47,52.026,247.11
120.0,4766.7,48.535,157.16,49.287,247.53
121.0,4803.9,46.488,158.50,47.205,248.38
122.0,4841.1,44.160,159.71,44.925,249.34
123.0,4878.3,42.392,160.07,42.944,250.19
124.0,4915.6,41.205,160.95,41.075,250.84
125.0,4952.8,39.653,162.05,39.497,251.54
126.0,4990.0,37.975,161.64,37.961,253.12
127.0,5027.2,36.491,162.01,36.755,252.62
128.0,5064.4,35.338,163.09,36.185,252.96
129.0,5101.7,33.834,162.71,34.625,253.10
130.0,5138.9,33.081,163.44,33.534,253.68
131.0,5176.1,32.307,163.92,32.749,254.31
132.0,5213.3,31.553,164.34,31.534,254.60
133.0,5250.6,30.342,163.92,31.038,255.47
134.0,5287.8,29.886,164.31,30.304,254.43
135.0,5325.0,29.002,164.96,29.631,255.21
136.0,5362.2,28.302,165.22,28.785,255.75
137.0,5399.4,27.160,164.80,28.423,256.45
138.0,5436.7,27.572,165.58,27.609,255.52
139.0,5473.9,26.306,165.35,27.197,257.23
140.0,5511.1,26.079,165.18,26.891,256.62
141.0,5548.3,25.604,165.53,26.347,256.34
142.0,5585.6,25.208,166.36,25.474,256.08
143.0,5622.8,25.005,165.77,25.490,256.89
144.0,5660.0,24.228,165.90,24.533,257.76
145.0,5697.2,23.517,166.51,24.378,257.59
146.0,5734.4,23.242,166.53,23.784,256.83
147.0,5771.7,22.862,167.65,23.568,257.76
148.0,5808.9,22.392,168.00,23.137,257.52
149.0,5846.1,22.495,167.60,22.719,257.91
150.0,5883.3,22.004,167.45,22.097,256.93
151.0,5920.6,21.932,166.85,21.663,257.95
152.0,5957.8,21.527,166.63,22.147,257.41
153.0,5995.0,21.323,167.63,22.008,257.28
154.0,6032.2,20.464,167.65,21.473,257.15
155.0,6069.4,20.311,167.65,21.045,258.17
156.0,6106.7,20.414,168.24,20.667,258.38
157.0,6143.9,20.049,168.28,20.172,256.94
158.0,6181.1,19.886,167.17,20.302,257.18
159.0,6218.3,19.730,167.08,19.658,258.26
160.0,6255.6,19.658,168.45,19.703,258.24
161.0,6292.8,19.484,167.10,20.239,257.33
162.0,6330.0,19.139,167.87,19.902,258.65
163.0,6367.2,18.856,167.50,19.442,258.70
164.0,6404.4,18.529,168.12,18.766,258.65
165.0,6441.7,18.745,167.61,18.973,258.33
166.0,6478.9,18.172,169.31,18.607,257.77
167.0,6516.1,17.994,168.51,18.189,257.87
168.0,6553.3,17.945,169.45,18.271,257.71
169.0,6590.6,17.731,168.93,18.272,258.14
170.0,6627.8,17.481,168.19,17.695,258.89
171.0,6665.0,17.617,167.89,17.831,260.46
172.0,6702.2,17.134,168.46,17.686,258.92
173.0,6739.4,17.062,167.79,17.431,258.17
174.0,6776.7,16.931,168.56,17.690,260.90
175.0,6813.9,17.317,167.64,17.701,260.10
176.0,6851.1,16.893,168.34,16.952,258.90
177.0,6888.3,17.048,167.59,17.310,260.89
178.0,6925.6,16.658,168.63,17.117,259.28
179.0,6962.8,16.221,168.66,16.763,258.95
180.0,7000.0,16.510,168.13,16.866,257.96
